,Channel 1,Channel 2
Revision:           ,0,0
Type:               ,interpolation,interpolation
Start:              ,0,0
Points:             ,15983,15983
Count:              ,1,1
XDispRange:         ,2.00000E-08,2.00000E-08
XDispOrg:           ,-6.736600000E-09,-6.736600000E-09
XInc:               ,1.2500000E-11,1.2500000E-11
XOrg:               ,-9.6498205685E-08,-9.6498205685E-08
Units:              ,second,second
YDispRange:         ,1.60000E-01,8.00000E-01
YDispOrg:           ,-9.39999986439943E-03,2.91999995708466E-01
YInc:               ,2.634639258758E-06,1.3173196748539E-05
YOrg:               ,-7.07081423030390E-03,3.03645929250506E-01
Units:              ,Volt,Volt
Frame:              ,MSO9404A:MY53310147,MSO9404A:MY53310147
Date:               ,6 JUL 2021,6 JUL 2021
Time:               ,08:31:58,08:31:58
Max Bandwidth:      ,1139000000,1139000000
Min Bandwidth:      ,0,0
Time Tags (Channel 1),Channel 1,Channel 2
-9.18107E-08, -5.7993E-02, -7.237E-02
-9.17982E-08, -5.8035E-02, -7.269E-02
-9.17857E-08, -5.8077E-02, -7.284E-02
-9.17732E-08, -5.8109E-02, -7.305E-02
-9.17607E-08, -5.8172E-02, -7.321E-02
-9.17482E-08, -5.8214E-02, -7.353E-02
-9.17357E-08, -5.8257E-02, -7.358E-02
-9.17232E-08, -5.8288E-02, -7.374E-02
-9.17107E-08, -5.8309E-02, -7.390E-02
-9.16982E-08, -5.8320E-02, -7.406E-02
-9.16857E-08, -5.8330E-02, -7.406E-02
-9.16732E-08, -5.8373E-02, -7.421E-02
-9.16607E-08, -5.8373E-02, -7.421E-02
-9.16482E-08, -5.8394E-02, -7.432E-02
-9.16357E-08, -5.8362E-02, -7.437E-02
-9.16232E-08, -5.8351E-02, -7.427E-02
-9.16107E-08, -5.8351E-02, -7.427E-02
-9.15982E-08, -5.8320E-02, -7.427E-02
-9.15857E-08, -5.8299E-02, -7.411E-02
-9.15732E-08, -5.8288E-02, -7.416E-02
-9.15607E-08, -5.8246E-02, -7.406E-02
-9.15482E-08, -5.8214E-02, -7.390E-02
-9.15357E-08, -5.8172E-02, -7.374E-02
-9.15232E-08, -5.8130E-02, -7.369E-02
-9.15107E-08, -5.8077E-02, -7.353E-02
-9.14982E-08, -5.8035E-02, -7.337E-02
-9.14857E-08, -5.7993E-02, -7.321E-02
-9.14732E-08, -5.7940E-02, -7.295E-02
-9.14607E-08, -5.7940E-02, -7.279E-02
-9.14482E-08, -5.7888E-02, -7.269E-02
-9.14357E-08, -5.7846E-02, -7.248E-02
-9.14232E-08, -5.7803E-02, -7.237E-02
-9.14107E-08, -5.7782E-02, -7.226E-02
